developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Media Works,2,0.01,0.04,0.05,0.025,0.025
Media.Vision,29,0.02,0.95,5.1,0.17586206896551723,0.11
MediaWorks,2,0.03,0.06,0.09,0.045,0.045
MegaHouse,1,0.0,0.0,0.0,0.0,0.0
Mekensleep,1,0.08,0.08,0.08,0.08,0.08
Melbourne House,4,0.01,1.29,2.31,0.5775,0.505
Melbourne House Pty Ltd.,1,0.2,0.2,0.2,0.2,0.2
Melesta,1,0.04,0.04,0.04,0.04,0.04
Men-A-Vision,1,0.77,0.77,0.77,0.77,0.77
Mentor Interactive,3,0.0,0.07,0.08,0.02666666666666667,0.01
Mercury Steam,8,0.02,1.11,2.83,0.35375,0.18
Mercury Steam / Alchemic Productions,3,0.01,0.32,0.53,0.17666666666666667,0.2
Mercury Steam Entertainment,1,0.02,0.02,0.02,0.02,0.02
Mere Mortals,5,0.01,0.24,0.38,0.076,0.01
Merscom LLC,1,0.2,0.2,0.2,0.2,0.2
"Mesa Logic, Inc.",1,0.72,0.72,0.72,0.72,0.72
Meteorise,1,0.03,0.03,0.03,0.03,0.03
Metia Interactive,1,0.02,0.02,0.02,0.02,0.02
Metro,3,0.12,0.54,0.92,0.3066666666666667,0.26
Metro Corporation,1,0.27,0.27,0.27,0.27,0.27
Metro Graphics,1,0.24,0.24,0.24,0.24,0.24
Metro3D,2,0.0,0.09,0.09,0.045,0.045
Metropolis Software,1,0.08,0.08,0.08,0.08,0.08
Meyer/Glass Interactive,1,0.45,0.45,0.45,0.45,0.45
MiCROViSion Inc. / Falcom Corporation,2,0.11,0.14,0.25,0.125,0.125
MichaelSoft,1,0.01,0.01,0.01,0.01,0.01
Micro Cabin,7,0.02,0.67,1.28,0.18285714285714286,0.1
MicroProse,3,0.09,0.55,0.91,0.30333333333333334,0.27
Microforum,1,0.0,0.0,0.0,0.0,0.0
Microids,16,0.0,0.1,0.5,0.03125,0.02
Micronet,1,0.08,0.08,0.08,0.08,0.08
Microsoft,3,0.0,5.12,6.11,2.0366666666666666,0.99
Microsoft Game Studios,9,0.02,0.61,1.47,0.16333333333333333,0.11
Microvision,5,0.0,0.09,0.21,0.041999999999999996,0.04
Midas Interactive Entertainment,9,0.0,0.13,0.29,0.03222222222222222,0.02
Midway,17,0.0,2.49,7.58,0.44588235294117645,0.16
Midway Amusement Games,2,1.99,2.05,4.04,2.02,2.02
Midway Games,36,0.0,1.88,14.540000000000001,0.4038888888888889,0.18
Midway Games West,3,0.17,1.15,1.5,0.5,0.18
Midway Studios  Austin,1,0.29,0.29,0.29,0.29,0.29
Midway Studios - Austin,4,0.0,0.54,0.9500000000000001,0.23750000000000002,0.20500000000000002
Midway Studios Austin,5,0.0,0.57,1.33,0.266,0.23
Midway Studios Los Angeles,6,0.16,0.69,2.23,0.37166666666666665,0.355
Midway Studios Newcastle,1,0.12,0.12,0.12,0.12,0.12
Midway Studios San Diego,7,0.03,2.0,4.13,0.59,0.43
Midway Studios San Diego,2,0.18,0.4,0.5800000000000001,0.29000000000000004,0.29000000000000004
Mikoishi,1,0.06,0.06,0.06,0.06,0.06
MileStone Inc.,11,0.0,0.39,1.28,0.11636363636363636,0.03
Milestone,15,0.0,0.27,1.3,0.08666666666666667,0.02
Milestone S.r.l,21,0.0,0.21,1.48,0.07047619047619047,0.05
Milestone S.r.l.,37,0.0,0.24,2.67,0.07216216216216216,0.06
Milkstone Studios,4,0.01,0.02,0.06,0.015,0.015
Millenium Interactive,1,4.16,4.16,4.16,4.16,4.16
Millennium Interactive,1,0.07,0.07,0.07,0.07,0.07
Millennium Kitchen,6,0.07,0.41,1.25,0.20833333333333334,0.14500000000000002
Million,4,0.03,0.14,0.29000000000000004,0.07250000000000001,0.060000000000000005
"Million Co., Ltd.",3,0.01,0.03,0.05,0.016666666666666666,0.01
Mimimi Productions,2,0.01,0.04,0.05,0.025,0.025
Minato Station,3,0.01,0.02,0.05,0.016666666666666666,0.02
Mind Candy,1,1.57,1.57,1.57,1.57,1.57
MindSpan,1,0.12,0.12,0.12,0.12,0.12
Minds-Eye,1,0.02,0.02,0.02,0.02,0.02
Minds-Eye Productions,2,0.21,0.92,1.1300000000000001,0.5650000000000001,0.5650000000000001
Minds-Eye Productions,2,0.11,0.23,0.34,0.17,0.17
Mindscape,13,0.0,0.2,0.85,0.06538461538461539,0.04
Mindscape Inc.,8,0.0,0.35,0.98,0.1225,0.08499999999999999
Mindstorm Studios,1,0.0,0.0,0.0,0.0,0.0
Mindware Studios,1,0.02,0.02,0.02,0.02,0.02
Miracle Designs,1,0.24,0.24,0.24,0.24,0.24
Miracle Positive,1,0.04,0.04,0.04,0.04,0.04
Mirai Shounen,1,0.02,0.02,0.02,0.02,0.02
Mistic Software,14,0.01,0.36,1.79,0.12785714285714286,0.08
Mistic Studios,3,0.06,0.1,0.23,0.07666666666666667,0.07
Mistwalker Corporation / AQ Interactive,1,0.68,0.68,0.68,0.68,0.68
Mistwalker Corporation / Artoon,2,0.03,0.92,0.9500000000000001,0.47500000000000003,0.47500000000000003
Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.,1,0.21,0.21,0.21,0.21,0.21
Mistwalker Corporation / Feelplus Inc.,1,0.9,0.9,0.9,0.9,0.9
Mistwalker Corporation / Racjin,1,0.12,0.12,0.12,0.12,0.12
Mistwalker Corporation / tri-Crescendo / Bird Studio,1,0.1,0.1,0.1,0.1,0.1
Mitchell,4,0.03,0.26,0.5,0.125,0.10500000000000001
Mithis Entertainment,1,0.0,0.0,0.0,0.0,0.0
Mix Max,2,0.08,0.14,0.22000000000000003,0.11000000000000001,0.11000000000000001
"Mobcast, Inc.",1,0.0,0.0,0.0,0.0,0.0
Mobile 21,1,0.08,0.08,0.08,0.08,0.08
Mobilero,2,0.02,0.03,0.05,0.025,0.025
Mobius Entertainment,7,0.0,0.37,0.74,0.10571428571428572,0.03
Mojang,3,5.43,6.33,17.81,5.9366666666666665,6.05
Monkey Bar Games,29,0.01,0.8,4.82,0.16620689655172416,0.11
Monochrome Corporation,2,0.09,0.14,0.23,0.115,0.115
Monolith Productions,15,0.0,2.04,7.87,0.5246666666666667,0.39
Monolith Soft,12,0.02,0.92,3.33,0.2775,0.13
Monomi Park,2,0.1,0.1,0.2,0.1,0.1
Monstars Inc.,1,0.25,0.25,0.25,0.25,0.25
Monster Games,8,0.1,0.96,1.97,0.24625,0.13
Monster Games Inc.,8,0.09,0.6,2.71,0.33875,0.31
Monte Cristo  Multimedia,2,0.0,0.04,0.04,0.02,0.02
Monte Cristo Multimedia,4,0.0,0.06,0.08,0.02,0.01
Monumental Games,4,0.06,0.22,0.62,0.155,0.17
Moonstone,2,0.01,0.02,0.03,0.015,0.015
Morgen Studios,4,0.03,0.09,0.26,0.065,0.07
Mosaic,1,0.01,0.01,0.01,0.01,0.01
Moss,3,0.01,0.12,0.16,0.05333333333333334,0.03
Most Wanted Entertainment,9,0.0,0.19,0.5,0.05555555555555555,0.04
Most Wanted Entertainment / HD Interactive,1,0.0,0.0,0.0,0.0,0.0
Mothership Entertainment,2,0.06,0.06,0.12,0.06,0.06
Motion Twin,2,0.05,0.11,0.16,0.08,0.08
"MotiveTime, Ltd.",1,0.07,0.07,0.07,0.07,0.07
Motivetime,1,1.16,1.16,1.16,1.16,1.16
Mucky Foot Productions,4,0.0,0.31,0.54,0.135,0.115
Mud Duck Productions,3,0.01,0.39,0.42000000000000004,0.14,0.02
MumboJumbo,13,0.0,0.31,0.79,0.06076923076923077,0.03
Muse Soft,1,0.1,0.1,0.1,0.1,0.1
MuuMuu,1,0.07,0.07,0.07,0.07,0.07
Mystic Software,1,0.06,0.06,0.06,0.06,0.06
Mystique,1,0.82,0.82,0.82,0.82,0.82
N-Fusion Interactive,1,0.16,0.16,0.16,0.16,0.16
N-Fusion Interactive Entertainment Corp.,1,0.14,0.14,0.14,0.14,0.14
N2V Games,1,0.0,0.0,0.0,0.0,0.0
N3VRF41L Publishing,1,0.0,0.0,0.0,0.0,0.0
NA.P.S. Team SNC,3,0.03,0.1,0.17,0.05666666666666667,0.04
NCS,4,0.0,0.2,0.24000000000000002,0.060000000000000005,0.02
NCsoft,1,0.0,0.0,0.0,0.0,0.0
NEC Intechannel,1,0.25,0.25,0.25,0.25,0.25
NEC Interchannel,3,0.06,0.08,0.22,0.07333333333333333,0.08
NEKO Entertainment Yullaby,2,0.1,0.14,0.24000000000000002,0.12000000000000001,0.12000000000000001
NEW Corporation,1,0.15,0.15,0.15,0.15,0.15
NMS Software,1,0.11,0.11,0.11,0.11,0.11
Nadeo,4,0.0,0.47,0.58,0.145,0.055
Naked Sky,1,0.13,0.13,0.13,0.13,0.13
Namco,114,0.01,5.74,73.28,0.6428070175438596,0.315
Namco Bandai,4,0.02,1.37,1.4700000000000002,0.36750000000000005,0.04
Namco Bandai Games,123,0.0,1.54,16.68,0.13560975609756099,0.1
Namco Bandai Games / Celius,1,0.18,0.18,0.18,0.18,0.18
Namco Bandai Games America,9,0.02,0.23,1.04,0.11555555555555556,0.11
Namco Tales Studio,9,0.01,1.09,3.8400000000000003,0.4266666666666667,0.24
NanaOn-Sha,5,0.0,0.66,1.23,0.246,0.14
Natsume,33,0.03,1.33,7.71,0.23363636363636364,0.17
Natsume Atari,4,0.03,0.1,0.24000000000000002,0.060000000000000005,0.05500000000000001
NaturalMotion Games,2,0.18,0.18,0.36,0.18,0.18
Naughty Dog,7,0.55,6.74,23.47,3.3528571428571428,3.64
Nautilus,2,0.14,0.24,0.38,0.19,0.19
Navarre Corp,2,0.08,0.09,0.16999999999999998,0.08499999999999999,0.08499999999999999
Navarre Corporation,1,0.01,0.01,0.01,0.01,0.01
Naxat Soft,2,0.01,0.06,0.06999999999999999,0.034999999999999996,0.034999999999999996
"Nd Cube Co., Ltd.",4,0.02,0.87,2.07,0.5175,0.59
Neko Entertainment,23,0.0,0.93,2.87,0.12478260869565218,0.05
NeoCoreGames,1,0.01,0.01,0.01,0.01,0.01
Neocore Games,4,0.01,0.03,0.08,0.02,0.02
Neon,1,0.09,0.09,0.09,0.09,0.09
Neon Studios,3,0.05,0.08,0.2,0.06666666666666667,0.07
Nerjyzed Entertainment,1,0.16,0.16,0.16,0.16,0.16
Nerve Software,2,0.45,0.71,1.16,0.58,0.58
Net Corporation,3,0.01,0.03,0.05,0.016666666666666666,0.01
NetRevo,1,0.02,0.02,0.02,0.02,0.02
NetherRealm Studios,15,0.05,3.49,20.330000000000002,1.3553333333333335,1.28
Netherock Ltd.,1,0.15,0.15,0.15,0.15,0.15
Neuron Age,1,0.01,0.01,0.01,0.01,0.01
Neurostone,1,0.08,0.08,0.08,0.08,0.08
Neverland,10,0.01,0.11,0.56,0.05600000000000001,0.05
Neverland Company,13,0.02,0.68,3.33,0.2561538461538462,0.19
Neversoft,5,1.0,4.53,10.68,2.136,1.67
Neversoft Entertainment,52,0.0,5.02,56.3,1.0826923076923076,0.62
Neversoft Entertainment / Rebellion,1,0.06,0.06,0.06,0.06,0.06
New,1,0.47,0.47,0.47,0.47,0.47
New Corporation,1,0.36,0.36,0.36,0.36,0.36
New Level Software,1,0.15,0.15,0.15,0.15,0.15
New World Computing,1,0.0,0.0,0.0,0.0,0.0
NewKidCo,1,0.38,0.38,0.38,0.38,0.38
Newcom,1,0.42,0.42,0.42,0.42,0.42
Nex Entertainment,1,0.54,0.54,0.54,0.54,0.54
Nexon,2,0.01,0.03,0.04,0.02,0.02
Next Entertainment,2,0.14,0.48,0.62,0.31,0.31
Next Level Games,9,0.04,0.37,1.62,0.18000000000000002,0.17
Next Wave Team,2,0.0,0.01,0.01,0.005,0.005
Nextech,4,0.03,0.17,0.41000000000000003,0.10250000000000001,0.105
Nfusion,2,0.0,0.13,0.13,0.065,0.065
Nicalis,4,0.02,0.28,0.47000000000000003,0.11750000000000001,0.08499999999999999
Nighthawk Interactive,4,0.01,0.05,0.11,0.0275,0.025
Nightlight Studios,1,0.04,0.04,0.04,0.04,0.04
Nihilistic,1,1.71,1.71,1.71,1.71,1.71
Nihilistic Software,7,0.18,0.77,2.58,0.3685714285714286,0.34
Nihon Bussan,1,0.28,0.28,0.28,0.28,0.28
Nihon Falcom Corporation,40,0.01,0.26,4.03,0.10075,0.07
Nikitova Games,4,0.02,0.06,0.19,0.0475,0.055
Ninai Games,1,0.0,0.0,0.0,0.0,0.0
Ninja Studio,5,0.0,0.06,0.09,0.018,0.01
Ninja Theory,5,0.05,0.81,2.41,0.48200000000000004,0.54
Nintendo,58,0.0,1.69,18.92,0.3262068965517242,0.185
Nintendo / TNX,1,0.89,0.89,0.89,0.89,0.89
Nintendo EAD,15,0.01,0.81,6.31,0.42066666666666663,0.42
Nintendo EAD / Q-Games,1,0.53,0.53,0.53,0.53,0.53
Nintendo EAD Tokyo,3,0.04,1.34,1.98,0.66,0.6
Nintendo EPD,5,0.0,0.44,1.4,0.27999999999999997,0.36
Nintendo IRD,1,0.27,0.27,0.27,0.27,0.27
Nintendo R&D1,7,0.07,0.92,3.81,0.5442857142857143,0.71
Nintendo R&D2,1,0.19,0.19,0.19,0.19,0.19
Nintendo SDD,1,0.51,0.51,0.51,0.51,0.51
Nintendo SPD Group No.1,1,0.3,0.3,0.3,0.3,0.3
Nintendo SPD Production Group 1/Team Ninja,1,1.36,1.36,1.36,1.36,1.36
Nintendo Software Technology Corporation,7,0.0,0.6,1.7,0.24285714285714285,0.15
Nippon Amuse,1,0.09,0.09,0.09,0.09,0.09
Nippon Columbia,16,0.01,0.28,1.49,0.093125,0.05500000000000001
Nippon Cultural Broadcasting eXtend,1,0.01,0.01,0.01,0.01,0.01
Nippon Ichi Software,87,0.0,0.58,6.76,0.07770114942528736,0.03
Nippon Ichi Software / Gust,1,0.18,0.18,0.18,0.18,0.18
Nippon Telenet,2,0.07,0.19,0.26,0.13,0.13
Nissimo,1,0.02,0.02,0.02,0.02,0.02
Nitro Games,4,0.01,0.04,0.11,0.0275,0.03
Nitro+,4,0.01,0.19,0.34,0.085,0.07
Nitroplus,3,0.03,0.04,0.1,0.03333333333333333,0.03
Nival Interactive,4,0.0,0.01,0.01,0.0025,0.0
Nival Interactive / La Plata Studios,1,0.0,0.0,0.0,0.0,0.0
Nival Interactive / N-Game Studios,1,0.0,0.0,0.0,0.0,0.0
NoWay Studio,1,0.04,0.04,0.04,0.04,0.04
Nobilis,5,0.0,0.32,0.64,0.128,0.13
Noise,1,0.0,0.0,0.0,0.0,0.0
Noise Factory,1,0.08,0.08,0.08,0.08,0.08
Noise Inc.,5,0.05,0.39,1.3,0.26,0.33
Norbert Palacz,1,0.08,0.08,0.08,0.08,0.08
Nordcurrent,3,0.03,0.19,0.3,0.09999999999999999,0.08
Nordic Games,3,0.01,0.16,0.24000000000000002,0.08,0.07
Nordic Games Publishing,1,0.01,0.01,0.01,0.01,0.01
NorthPole Studio,1,0.01,0.01,0.01,0.01,0.01
NovaLogic,4,0.0,0.02,0.02,0.005,0.0
Novarama,7,0.01,0.79,1.36,0.1942857142857143,0.09
Novotrade International,2,0.07,0.12,0.19,0.095,0.095
Now Production,18,0.01,0.5,2.48,0.13777777777777778,0.115
Ntreev Soft,3,0.11,0.22,0.47000000000000003,0.15666666666666668,0.14
NuFX,9,0.24,2.79,8.79,0.9766666666666666,0.66
Nucleosys,1,0.01,0.01,0.01,0.01,0.01
Nude Maker,1,0.06,0.06,0.06,0.06,0.06
Nuevo Retro Games / NST,2,0.55,0.56,1.11,0.555,0.555
Numantian Games,1,0.0,0.0,0.0,0.0,0.0
Nurijoy,3,0.0,0.03,0.05,0.016666666666666666,0.02
O Games,10,0.0,0.11,0.35,0.034999999999999996,0.02
O-Games,7,0.0,0.11,0.4,0.05714285714285715,0.05
O-TWO inc.,1,1.1,1.1,1.1,1.1,1.1
O3 Entertainment,1,0.11,0.11,0.11,0.11,0.11
OUAT Entertainment,1,0.11,0.11,0.11,0.11,0.11
Oberon Media,4,0.0,0.02,0.05,0.0125,0.015
Obsidian Entertainment,23,0.0,4.08,12.72,0.5530434782608696,0.05
Ocean,2,0.24,0.36,0.6,0.3,0.3
Oddworld Inhabitans,1,0.99,0.99,0.99,0.99,0.99
Oddworld Inhabitants,2,0.73,1.24,1.97,0.985,0.985
Odenis Studio,1,0.09,0.09,0.09,0.09,0.09
Office Create,5,0.07,5.66,12.39,2.478,2.89
Omega Force,145,0.0,1.0,31.71,0.2186896551724138,0.15
Omega Force / Koei Canada,1,0.2,0.2,0.2,0.2,0.2
Omiya Soft,1,0.24,0.24,0.24,0.24,0.24
OmiyaSoft,5,0.03,0.29,0.65,0.13,0.1
One Man Band,1,0.05,0.05,0.05,0.05,0.05
OneNine Studios,2,0.08,0.18,0.26,0.13,0.13
Ongakukan,1,0.01,0.01,0.01,0.01,0.01
Onion Egg,1,0.08,0.08,0.08,0.08,0.08
Open Book,1,0.0,0.0,0.0,0.0,0.0
Open Sesame,2,0.0,0.18,0.18,0.09,0.09
Opera,1,0.0,0.0,0.0,0.0,0.0
Opera House,1,0.11,0.11,0.11,0.11,0.11
Operetta Due,1,0.01,0.01,0.01,0.01,0.01
Opus Studio,12,0.02,0.32,1.68,0.13999999999999999,0.12
"Orbital Media, Inc.",1,0.06,0.06,0.06,0.06,0.06
Origin Systems,1,0.16,0.16,0.16,0.16,0.16
"Origin Systems, Inc.",1,0.09,0.09,0.09,0.09,0.09
Osiris Studios,1,0.21,0.21,0.21,0.21,0.21
Other Ocean Interactive,9,0.01,0.37,1.35,0.15000000000000002,0.09
Otomate,21,0.0,0.05,0.46,0.021904761904761906,0.02
OutLook Entertainment,2,0.0,0.01,0.01,0.005,0.005
Outrage Entertainment,1,0.0,0.0,0.0,0.0,0.0
Outrage Games,4,0.0,0.13,0.3,0.075,0.08499999999999999
Outright Games,9,0.01,0.13,0.38,0.042222222222222223,0.03
Overkill Software,6,0.05,0.58,1.77,0.295,0.275
Overplay,1,0.07,0.07,0.07,0.07,0.07
Overworks,8,0.09,0.96,2.65,0.33125,0.255
Owlchemy Labs,2,0.08,0.12,0.2,0.1,0.1
Oxygen Games,3,0.0,0.08,0.08,0.02666666666666667,0.0
Oxygen Interactive,10,0.0,0.1,0.39,0.039,0.03
Oxygen Studios,1,0.03,0.03,0.03,0.03,0.03
P2 Games,2,0.01,0.06,0.06999999999999999,0.034999999999999996,0.034999999999999996
PAWS,1,0.02,0.02,0.02,0.02,0.02
PENCIL,1,0.02,0.02,0.02,0.02,0.02
PES Productions,15,0.03,0.82,4.52,0.3013333333333333,0.14
PF.Magic,1,0.0,0.0,0.0,0.0,0.0
PM Studios,1,0.01,0.01,0.01,0.01,0.01
PQube,1,0.0,0.0,0.0,0.0,0.0
PROPE,7,0.05,0.17,0.68,0.09714285714285716,0.09
PUBG Corporation,2,0.33,2.17,2.5,1.25,1.25
Pacific Century Cyber Works Japan,1,0.26,0.26,0.26,0.26,0.26
Pacific Coast Power & Light,12,0.08,0.74,3.79,0.31583333333333335,0.26
Pack-In Video,1,1.25,1.25,1.25,1.25,1.25
Pack-In-Video,1,0.05,0.05,0.05,0.05,0.05
Page 44,3,0.1,0.66,1.01,0.33666666666666667,0.25
Page 44 Studios,12,0.09,1.29,5.11,0.42583333333333334,0.24
"Page 44 Studios, LLC",3,0.16,0.86,1.3,0.43333333333333335,0.28
PagodaWest Games,3,0.13,0.47,0.9099999999999999,0.3033333333333333,0.31
"Pai, Inc",1,0.28,0.28,0.28,0.28,0.28
Palm Development,1,0.01,0.01,0.01,0.01,0.01
Pam Development,6,0.1,0.58,2.41,0.40166666666666667,0.51
Pandemic Studios,33,0.0,3.61,24.49,0.7421212121212121,0.48
Panic Button,2,0.03,0.19,0.22,0.11,0.11
Panic Button Games Inc.,2,0.04,0.1,0.14,0.07,0.07
Panic Button LLC,1,0.13,0.13,0.13,0.13,0.13
Panther Software,2,0.03,0.17,0.2,0.1,0.1
Paon Corporation,16,0.01,0.62,2.2600000000000002,0.14125000000000001,0.05
Papaya Studio Corporation,3,0.22,0.44,0.95,0.31666666666666665,0.29
Papaya Studios,18,0.02,1.89,5.92,0.3288888888888889,0.2
Paprikari,2,0.0,0.04,0.04,0.02,0.02
Papyrus,1,0.41,0.41,0.41,0.41,0.41
ParaPhray,1,0.03,0.03,0.03,0.03,0.03
Paradigm Entertainment,18,0.0,1.67,5.06,0.2811111111111111,0.16
Paradigm Entertainment Inc.,1,0.03,0.03,0.03,0.03,0.03
"Paradigm Entertainment, Electronic Arts",1,0.62,0.62,0.62,0.62,0.62
Paradox Development,10,0.09,0.72,3.19,0.319,0.22500000000000003
Paradox Interactive,16,0.0,0.09,0.22,0.01375,0.005
Paragon 5,1,0.01,0.01,0.01,0.01,0.01
Parallax Software,2,0.1,0.19,0.29000000000000004,0.14500000000000002,0.14500000000000002
Param,1,0.14,0.14,0.14,0.14,0.14
Paramount Interactive,3,0.0,0.23,0.28,0.09333333333333334,0.05
ParityBit,9,0.03,1.13,2.62,0.2911111111111111,0.13
Park Place Productions,1,0.07,0.07,0.07,0.07,0.07
Parker Bros,2,0.17,0.33,0.5,0.25,0.25
Parker Bros.,4,0.22,0.93,2.23,0.5575,0.54
Pasta Games!,1,0.0,0.0,0.0,0.0,0.0
Paul Cuisset,2,0.01,0.03,0.04,0.02,0.02
PawaPuro Production,51,0.02,0.45,7.59,0.14882352941176472,0.13
PawaPuro Productions,4,0.09,0.31,0.8200000000000001,0.20500000000000002,0.21000000000000002
Pax Softonica,1,0.08,0.08,0.08,0.08,0.08
Pegasus Japan,2,0.02,0.09,0.11,0.055,0.055
Pendulo Studio,1,0.06,0.06,0.06,0.06,0.06
Pendulo Studios,2,0.02,0.04,0.06,0.03,0.03
Pentavision Entertainment,2,0.03,0.13,0.16,0.08,0.08
People Can Fly,8,0.0,1.02,1.99,0.24875,0.10500000000000001
Perfect Entertainment,3,0.0,0.02,0.02,0.006666666666666667,0.0
Perpetual FX Creative,1,0.09,0.09,0.09,0.09,0.09
Petit Reve,1,0.0,0.0,0.0,0.0,0.0
Petroglyph Games,8,0.01,0.1,0.38,0.0475,0.03
Phantagram,2,0.15,0.32,0.47,0.235,0.235
Phantom 8 Studio,2,0.02,0.03,0.05,0.025,0.025
Phenomedia,4,0.02,0.06,0.16,0.04,0.04
Phenomic Game Development,1,0.0,0.0,0.0,0.0,0.0
Phoenix,1,0.21,0.21,0.21,0.21,0.21
Phoenix Games,1,0.23,0.23,0.23,0.23,0.23
Phoenix Games Studio,4,0.07,0.19,0.52,0.13,0.13
Phoenix Interactive,3,0.0,0.0,0.0,0.0,0.0
Phoenix Interactive Entertainment,2,0.02,0.22,0.24,0.12,0.12
Phosphor Studios,1,0.13,0.13,0.13,0.13,0.13
Pi Studios,1,0.38,0.38,0.38,0.38,0.38
Piacci,3,0.0,0.01,0.02,0.006666666666666667,0.01
Pinegrow,1,0.08,0.08,0.08,0.08,0.08
Pioneer LDC,3,0.05,0.21,0.33,0.11,0.07
Pipe Dream Interactive,5,0.15,0.56,1.58,0.316,0.28
Pipeworks Software Inc.,1,0.11,0.11,0.11,0.11,0.11
"Pipeworks Software, Inc.",25,0.03,2.83,14.26,0.5704,0.33
Piranha Bytes,9,0.04,0.23,1.1800000000000002,0.13111111111111112,0.14
Piranha Games,5,0.0,0.77,1.42,0.284,0.23
Pitbull Syndicate,8,0.07,1.34,5.5600000000000005,0.6950000000000001,0.57
Pivotal Games,21,0.0,1.57,5.3,0.2523809523809524,0.1
Pixel Arts,1,0.07,0.07,0.07,0.07,0.07
Pixel Tales,3,0.19,0.55,0.93,0.31,0.19
Pixelogic,2,0.0,0.12,0.12,0.06,0.06
Planet Entertainment,1,0.07,0.07,0.07,0.07,0.07
Planet Interactive,3,0.01,0.02,0.04,0.013333333333333334,0.01
Planet Moon Studios,9,0.0,0.75,1.2,0.13333333333333333,0.06
Planning Office Wada,1,0.05,0.05,0.05,0.05,0.05
Platinum Egg,1,0.13,0.13,0.13,0.13,0.13
PlatinumGames,19,0.03,1.5,7.72,0.4063157894736842,0.21
PlatinumGames / Nude Maker,1,0.2,0.2,0.2,0.2,0.2
Plato,2,0.01,0.38,0.39,0.195,0.195
Play Mechanix,3,0.01,0.02,0.05,0.016666666666666666,0.02
PlayFirst,2,0.03,0.21,0.24,0.12,0.12
PlayStation C.A.M.P.!,2,0.05,0.26,0.31,0.155,0.155
PlayV,7,0.0,0.17,0.46,0.06571428571428571,0.02
Playbox Limited,1,0.37,0.37,0.37,0.37,0.37
Playdead,3,0.0,0.04,0.07,0.023333333333333334,0.03
Player 1,6,0.05,0.1,0.42000000000000004,0.07,0.065
Playerone Sport,1,0.0,0.0,0.0,0.0,0.0
Playful Corp.,1,0.22,0.22,0.22,0.22,0.22
Playground Games,3,1.46,1.94,5.24,1.7466666666666668,1.84
Playlogic,1,0.0,0.0,0.0,0.0,0.0
Playlogic Game Factory,5,0.05,0.17,0.56,0.11200000000000002,0.09
Playmore Corporation,1,0.04,0.04,0.04,0.04,0.04
Playrix Entertainment,5,0.0,0.05,0.14,0.028000000000000004,0.02
Playsport Games,1,0.02,0.02,0.02,0.02,0.02
Playstos Entertainment,2,0.02,0.02,0.04,0.02,0.02
Playtonic Games,2,0.1,0.29,0.39,0.195,0.195
Plenty,1,0.02,0.02,0.02,0.02,0.02
Pocket Studios,8,0.0,1.29,2.45,0.30625,0.125
Pocketeers,4,0.13,0.48,1.33,0.3325,0.36
Point of View,46,0.0,1.68,10.17,0.22108695652173913,0.14
Point of View Inc.,1,0.96,0.96,0.96,0.96,0.96
Polygon Magic,7,0.07,0.77,1.59,0.22714285714285715,0.11
Polykid,1,0.07,0.07,0.07,0.07,0.07
Polyphony Digital,5,0.52,3.27,9.13,1.826,1.84
PomPom Games,1,0.0,0.0,0.0,0.0,0.0
Pony Canyon,1,0.05,0.05,0.05,0.05,0.05
PopCap,5,0.0,0.21,0.27,0.054000000000000006,0.02
PopCap Games,22,0.01,1.13,7.2700000000000005,0.3304545454545455,0.14500000000000002
PopTop Software,3,0.0,0.04,0.07,0.023333333333333334,0.03
Poponchi,1,0.03,0.03,0.03,0.03,0.03
Powerhead Games,8,0.0,0.55,1.33,0.16625,0.07
"Powerhead, LLC",1,0.14,0.14,0.14,0.14,0.14
Press Play,2,0.03,0.05,0.08,0.04,0.04
Press Start Inc.,1,1.52,1.52,1.52,1.52,1.52
Presto Studios,4,0.0,0.28,0.43000000000000005,0.10750000000000001,0.075
Prideful Sloth,2,0.03,0.04,0.07,0.035,0.035
Princess Soft,6,0.0,0.03,0.09,0.015,0.015
ProSoft,1,0.09,0.09,0.09,0.09,0.09
Probe,1,0.11,0.11,0.11,0.11,0.11
Probe Entertainment,1,0.08,0.08,0.08,0.08,0.08
Probe Entertainment Limited,15,0.03,2.67,9.58,0.6386666666666667,0.24
Probe Entertainment Ltd.,1,0.06,0.06,0.06,0.06,0.06
Produce!,6,0.05,0.81,2.22,0.37000000000000005,0.33
Program-Ace,1,0.05,0.05,0.05,0.05,0.05
Prograph,1,0.03,0.03,0.03,0.03,0.03
Project ACES,4,0.12,0.74,1.64,0.41,0.39
Project Soul,6,0.01,0.59,1.5999999999999999,0.26666666666666666,0.24
Prolific,1,0.3,0.3,0.3,0.3,0.3
Pronto Games,4,0.01,0.26,0.38,0.095,0.055
Propaganda Games,7,0.01,0.75,2.38,0.33999999999999997,0.31
Prospect Games,2,0.01,0.04,0.05,0.025,0.025
Prototype,28,0.0,0.04,0.4,0.014285714285714287,0.01
Pseudo Interactive,3,0.06,0.18,0.36,0.12,0.12
Psikyo,3,0.05,0.12,0.22999999999999998,0.07666666666666666,0.06
Psikyo / X-Nauts,1,0.0,0.0,0.0,0.0,0.0
Psygnosis,14,0.01,0.43,2.15,0.15357142857142855,0.08499999999999999
