developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
"IronNos Co., Ltd.",1,0.06,0.06,0.06,0.06,0.06
Ironclad Games,1,0.03,0.03,0.03,0.03,0.03
Irrational Games,6,0.0,1.97,3.81,0.635,0.01
Irrational Games / Looking Glass Studios,1,0.0,0.0,0.0,0.0,0.0
Island Officials,1,0.02,0.02,0.02,0.02,0.02
Isopod Labs,3,0.08,0.09,0.25,0.08333333333333333,0.08
Ivanovich Games,1,0.04,0.04,0.04,0.04,0.04
Ivolgamus,5,0.0,0.31,0.66,0.132,0.07
Ivolgamus UAB,2,0.0,0.15,0.15,0.075,0.075
Ivory Tower,5,0.02,0.82,1.33,0.266,0.14
JAKKS Pacific,10,0.38,1.17,8.05,0.805,0.8049999999999999
JAPAN Studio / Artoon,1,0.0,0.0,0.0,0.0,0.0
JGI Entertainment,3,0.23,2.49,3.4600000000000004,1.1533333333333335,0.74
JV Games,2,0.08,0.13,0.21000000000000002,0.10500000000000001,0.10500000000000001
Jack of All Games,5,0.01,0.15,0.26,0.052000000000000005,0.02
Jaleco,2,0.01,0.1,0.11,0.055,0.055
Jaleco Entertainment,12,0.0,0.5,1.23,0.1025,0.05
Japan Art Media,2,0.0,0.16,0.16,0.08,0.08
Japan Supply System,2,0.05,0.11,0.16,0.08,0.08
Jarhead Games,1,0.0,0.0,0.0,0.0,0.0
"Jellyvision, Inc.",6,0.04,0.21,0.8099999999999999,0.13499999999999998,0.14
Jester Interactive,5,0.04,0.71,1.77,0.354,0.4
Jet Black Games,3,0.2,0.4,0.8500000000000001,0.2833333333333334,0.25
JoWood Productions,1,0.14,0.14,0.14,0.14,0.14
JoWood Productions & Piranha Bytes,1,0.03,0.03,0.03,0.03,0.03
Jorudan,5,0.01,0.36,1.01,0.202,0.29
Judo Baby,1,0.04,0.04,0.04,0.04,0.04
Juice Games,10,0.0,0.63,3.02,0.302,0.31
Junction Point Studios,5,0.0,0.98,2.2199999999999998,0.44399999999999995,0.48
Jupiter Corporation,11,0.04,0.87,2.92,0.26545454545454544,0.11
Jupiter Multimedia,7,0.01,0.62,2.78,0.39714285714285713,0.41
Just Add Monsters,1,0.28,0.28,0.28,0.28,0.28
Just For Fun Studios,1,0.05,0.05,0.05,0.05,0.05
Just Sims,2,0.0,0.02,0.02,0.01,0.01
K2 LLC,9,0.0,1.14,2.4699999999999998,0.27444444444444444,0.21
KCE Sapporo,1,0.04,0.04,0.04,0.04,0.04
KCE Studios,2,0.11,0.18,0.29,0.145,0.145
KCE Tokyo Inc,1,0.04,0.04,0.04,0.04,0.04
KCEA,2,0.07,0.64,0.71,0.355,0.355
KCEJ,4,0.45,0.83,2.32,0.58,0.52
KCEK,3,0.13,0.64,0.93,0.31,0.16
KCEO,9,0.03,0.51,1.39,0.15444444444444444,0.06
KCET,17,0.02,0.98,6.44,0.3788235294117647,0.36
KID,2,0.02,0.03,0.05,0.025,0.025
KID Corporation,11,0.0,0.9,1.04,0.09454545454545454,0.02
KING Art Games,16,0.0,0.1,0.48,0.03,0.025
KMM Games,3,0.08,0.12,0.3,0.09999999999999999,0.1
KSS,1,0.03,0.03,0.03,0.03,0.03
Kadokawa Games,25,0.01,0.21,1.23,0.0492,0.04
Kadokawa Shoten,25,0.01,0.23,1.24,0.0496,0.02
Kaiko,3,0.03,0.11,0.18,0.06,0.04
Kalisto,1,0.14,0.14,0.14,0.14,0.14
Kalisto Entertainment,3,0.17,0.63,1.06,0.35333333333333333,0.26
Kalypso,2,0.02,0.02,0.04,0.02,0.02
Kalypso Media,3,0.0,0.09,0.14,0.04666666666666667,0.05
Kamehan Studios,1,0.0,0.0,0.0,0.0,0.0
Kamui,2,0.03,0.43,0.45999999999999996,0.22999999999999998,0.22999999999999998
Kando Games,3,0.01,0.08,0.12,0.04,0.03
Kaneko Co. Ltd,1,0.04,0.04,0.04,0.04,0.04
Kaos Studios,5,0.02,1.46,3.18,0.636,0.56
Karin Entertainment,3,0.01,0.02,0.04,0.013333333333333334,0.01
Kat Games,1,0.02,0.02,0.02,0.02,0.02
Katauri Interactive,2,0.0,0.01,0.01,0.005,0.005
Kaze,1,0.0,0.0,0.0,0.0,0.0
Keen Games,10,0.02,0.53,1.77,0.177,0.11499999999999999
Kemco,9,0.0,0.17,0.6,0.06666666666666667,0.08
Kerberos Productions,1,0.01,0.01,0.01,0.01,0.01
Key,7,0.01,0.06,0.22,0.03142857142857143,0.02
Key Game,1,0.07,0.07,0.07,0.07,0.07
Keys Factory,1,0.09,0.09,0.09,0.09,0.09
Kheops Studio,3,0.0,0.08,0.08,0.02666666666666667,0.0
Kids Station,1,0.01,0.01,0.01,0.01,0.01
Killaware,4,0.0,0.05,0.11,0.0275,0.03
Killer Game,5,0.08,0.51,1.71,0.34199999999999997,0.43
King of the Jungle,4,0.01,0.24,0.35,0.0875,0.049999999999999996
Kite Games,2,0.02,0.1,0.12000000000000001,0.060000000000000005,0.060000000000000005
Klei Entertainment,2,0.04,0.05,0.09,0.045,0.045
KnowWonder,4,0.0,0.06,0.11,0.0275,0.025
Knowledge Adventure Inc.,3,0.1,0.44,0.95,0.31666666666666665,0.41
Koch Media,1,0.04,0.04,0.04,0.04,0.04
Kodiak Interactive,3,0.07,1.22,2.08,0.6933333333333334,0.79
Koei,89,0.0,0.95,8.95,0.10056179775280898,0.05
Koei / Inis,3,0.13,0.53,0.8,0.26666666666666666,0.14
Koei Canada,2,0.08,0.13,0.21000000000000002,0.10500000000000001,0.10500000000000001
Koei Tecmo Games,39,0.0,0.19,1.95,0.049999999999999996,0.04
Koei/Inis,14,0.0,0.2,1.03,0.07357142857142858,0.06
Kogado Software Products,2,0.01,0.01,0.02,0.01,0.01
Kogado Studio,1,0.01,0.01,0.01,0.01,0.01
"Kogado Studio, Inc.",2,0.01,0.09,0.09999999999999999,0.049999999999999996,0.049999999999999996
Kojima Productions,28,0.0,3.04,13.13,0.4689285714285715,0.195
Kokolo Corporation,1,0.13,0.13,0.13,0.13,0.13
Konami,409,0.0,4.17,109.54,0.2678239608801956,0.11
Konami / Eighting,1,0.16,0.16,0.16,0.16,0.16
Konami Computer Entertainment America,2,0.02,0.02,0.04,0.02,0.02
"Konami Computer Entertainment America, Inc. Honolulu Studio",1,0.27,0.27,0.27,0.27,0.27
Konami Computer Entertainment Hawaii,12,0.02,1.14,3.12,0.26,0.11
Konami Computer Entertainment Japan,15,0.0,1.18,5.1899999999999995,0.346,0.39
Konami Computer Entertainment Nagoya,1,0.17,0.17,0.17,0.17,0.17
Konami Computer Entertainment Osaka,26,0.01,0.66,5.34,0.2053846153846154,0.14500000000000002
Konami Computer Entertainment Shinjuku,1,0.28,0.28,0.28,0.28,0.28
Konami Computer Entertainment Tokyo,43,0.0,4.39,38.55,0.8965116279069767,0.45
Konami Digital Entertainment,15,0.01,0.75,2.66,0.17733333333333334,0.12
"Konami Digital Entertainment, Inc.",2,0.14,0.16,0.30000000000000004,0.15000000000000002,0.15000000000000002
Konami Software Shanghai,2,0.05,0.13,0.18,0.09,0.09
